date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,datasource_id,refCode,createdAt,updatedAt
2022-07-20,2022,"ICRC pre-hospital and hospital care, and protection activities in Israel and the occupied territories.",2811245,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2022,2022,,,,International Committee of the Red Cross,Red Cross/Red Crescent,,PSE,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2022-07-25,2022-07-20,,2800000,EUR,0.996,255798,ECHO/PSE/BUD/2022/91004,2022-07-26,2022-07-26
2022-07-04,,OCT 8618 [OCT 8618],1043841,"Switzerland, Government of",Government,CHE,2021,2021,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,occupied Palestinian territory Humanitarian Fund,Pooled fund,,PSE,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2021-03-10,2021-02-16,,1000000,CHF,0.89,228696,OCT 8618,2022-07-08,2022-07-08
2022-06-23,2022,2022 UNRWA USA Support to WBFO Summer Camps,250000,American National Committee for UNRWA,Private organization/foundation,,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,Education,PSE,Ensuring safe access to emergency education for UNRWA vulnerable refugee students.,HPSE22-EDU-183437-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-27,2022-06-23,,,,,256305,PR22036,2022-08-02,2022-08-02
2022-06-22,,"Prolongation of Secondment Protection Gaza No Secondment Techn. Assistance inc.",112274,"Switzerland, Government of",Government,CHE,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,Protection - Gender-Based Violence,PSE,"Preventing and Responding to Gender-Based Violence among Palestine Refugees in the West Bank, including East Jerusalem ",HPSE22-PRO-183731-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-12,2022-06-22,,111600,CHF,0.994,255339,7F-09863.02,2022-07-18,2022-07-18
2022-06-22,,"Actionsbasket/pooled/multidonor fund Education*, Primary education",2766600,"Switzerland, Government of",Government,CHE,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,Education,PSE,Emergency Education and MHPSS in Gaza,HPSE22-EDU-183493-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-12,2022-06-22,,2750000,CHF,0.994,255378,7F-06962.47,2022-07-18,2022-07-18
2022-06-21,2022,Towards Food assistance in Gaza Strip.,208768,"Spain, Government of",Government,ESP,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,Food Security,PSE,Emergency Food Assistance in Gaza ,HPSE22-FSC-183448-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-27,2022-06-21,,200000,EUR,0.958,256309,PR22037,2022-08-02,2022-08-02
2022-06-21,,"Palestine - supporting critical health services	""1. Contribute to MoH’s ability to deliver critical health services in Gaza. 2. Contribute to strengthen and develop local health staff capability.",810537,"Norway, Government of",Government,NOR,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,Norwegian Aid Committee,NGO,Health,PSE,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-22,2022-06-21,,8000000,NOK,9.87,256415,MEU-22/0007-1,2022-08-02,2022-08-02
2022-06-17,,OCT 10530 [OCT 10530],6647,United Nations Foundation,Private organization/foundation,,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,occupied Palestinian territory Humanitarian Fund,Pooled fund,,PSE,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-05-18,2022-06-17,,,,,252154,OCT 10530,2022-07-09,2022-07-18
2022-06-17,,mergency Food Assistance,294990,"Spain, Government of",Government,ESP,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,Food Security,PSE,Emergency Food Assistance in Gaza ,HPSE22-FSC-183448-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-27,2022-06-17,,282600,EUR,0.958,256299,PR22035,2022-08-02,2022-08-02
2022-06-10,2022,Zakat Fund :2022 Emergency Appeal for Food and Cash assistance in Gaza  and West Bank,644012,Private (individuals & organizations),Private organization/foundation,,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,Food Security,PSE,Emergency Food Assistance in Gaza ,HPSE22-FSC-183448-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-27,2022-06-10,,,,,256307,PR22021,2022-08-02,2022-08-02
2022-06-10,2022,Towards Food assistance in Gaza Strip.,150000,Private (individuals & organizations),Private organization/foundation,,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,Food Security,PSE,Emergency Food Assistance in Gaza ,HPSE22-FSC-183448-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-27,2022-06-10,,,,,256308,PR22033,2022-08-02,2022-08-02
2022-06-07,2022,Emergency Food Assistance in Gaza Strip,30000,SGQURBAN Philanthropic Initiative,NGO,,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,Food Security,PSE,Emergency Food Assistance in Gaza ,HPSE22-FSC-183448-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-27,2022-06-07,,,,,256300,PR22034,2022-08-02,2022-08-02
2022-06-02,,Environmental Health,64516,"Spain, Government of",Government,ESP,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,Food Security,PSE,Emergency Food Assistance in Gaza ,HPSE22-FSC-183448-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-27,2022-06-02,,60000,EUR,0.93,256297,PR22032,2022-08-02,2022-08-02
2022-06-01,,OCT 10527 [OCT 10527],192619,"Iceland, Government of",Government,ISL,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,occupied Palestinian territory Humanitarian Fund,Pooled fund,,PSE,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-05-18,2022-05-17,,25000000,ISK,131.87,252155,OCT 10527,2022-06-03,2022-06-16
2022-06-01,,Vulnerable populations protected against hunger and malnutrition.,38529,"Norway, Government of",Government,NOR,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,Norwegian People's Aid,NGO,Food Security,PSE,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-22,2022-06-01,,364095,NOK,9.45,256412,QZA-20/0044-22,2022-08-02,2022-08-02
2022-05-27,,Equipment and Rehab for Nurshams Girls School in the WBFO,158395,"Spain, Government of",Government,ESP,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,Education,PSE,Ensuring safe access to emergency education for UNRWA vulnerable refugee students.,HPSE22-EDU-183437-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-27,2022-05-27,,150000,EUR,0.947,256298,PR22031,2022-08-02,2022-08-02
2022-05-20,,OCT 10492 [OCT 10492],1025849,"Norway, Government of",Government,NOR,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,occupied Palestinian territory Humanitarian Fund,Pooled fund,,PSE,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-05-06,2022-05-03,,10000000,NOK,8.753,251261,OCT 10492,2022-05-24,2022-08-02
2022-05-20,2022,UNRWA USA Support to Gaza Emergency Food Assistance,700000,American National Committee for UNRWA,Private organization/foundation,,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,Food Security,PSE,Emergency Cash Assistance for the Most Vulnerable Palestine Refugees in Gaza,HPSE22-FSC-183491-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-27,2022-05-20,,,,,256303,PR22029,2022-08-02,2022-08-02
2022-05-20,2022,"Shelter, including transitional shelter cash assistance (Gaza) and shelter repairs (Gaza and West Bank)",32151,American National Committee for UNRWA,Private organization/foundation,,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,Emergency Shelter and NFI,PSE,Emergency Shelter and Preparedness in Gaza,HPSE22-SHL-183494-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-27,2022-05-20,,,,,256304,PR22030,2022-08-02,2022-08-02
2022-05-18,,Palestine - operational appeal,1036377,"Norway, Government of",Government,NOR,2022,2022,,,,Norwegian Red Cross,Red Cross/Red Crescent,,PSE,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-22,2022-05-18,,10000000,NOK,9.649,256411,QZA-20/0074-12,2022-08-02,2022-08-02
2022-05-17,,"IMC:  Health, Disaster Risk Reduction Policy and Practice, Protection West Bank and Gaza(USAID/BHA)",5100000,"United States of America, Government of",Government,USA,2022,2022,,,,International Medical Corps,NGO,"Health,Protection",PSE,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2022-05-17,,USAID/BHA,,,,251510,"FS 2, FY22",2022-05-10,2022-05-20
2022-05-17,,Mercy Corps:  MPCA West Bank and Gaza (USAID/BHA),4000000,"United States of America, Government of",Government,USA,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,Mercy Corps,NGO,Coordination and support services,PSE,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2022-05-17,,USAID/BHA,,,,252475,"FS 2, FY22",2022-05-20,2022-05-20
2022-05-12,,OCT 10477 [OCT 10477],315126,"Ireland, Government of",Government,IRL,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,occupied Palestinian territory Humanitarian Fund,Pooled fund,,PSE,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-05-20,2022-05-05,,300000,EUR,0.952,252441,OCT 10477,2022-05-26,2022-05-27
2022-05-12,,OCT 10477 [OCT 10477];[OPT 22 01],210084,"Ireland, Government of",Government,IRL,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,Office for the Coordination of Humanitarian Affairs,UN agency,Coordination and support services,PSE,Strengthening Humanitarian Coordination and Advocacy in the occupied Palestinian territory,HPSE22-CSS-183750-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-05-20,2022-05-05,,200000,EUR,0.952,252442,[OCT 10477];[OPT 22 01],2022-05-26,2022-05-27
2022-05-09,2022,2022 Programme Budget,2000000,"Kuwait, Government of",Government,KWT,2022,2022,,,,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,,"JOR,LBN,PSE,SYR",,,,2022,2022,financial,Standard,Traditional aid,incoming,shared,paid,2022-06-02,2022-05-09,,,,,253420,,2022-06-02,2022-06-02
2022-04-26,,Food security in Palestine,185063,"Norway, Government of",Government,NOR,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,Norwegian People's Aid,NGO,Food Security,PSE,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-05-20,2022-04-26,,1740516,NOK,9.405,252576,QZA-20/0044-22,2022-05-20,2022-05-20
2022-04-26,,MRE/ mine action in Palestine,158625,"Norway, Government of",Government,NOR,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,Norwegian People's Aid,NGO,Protection - Mine Action,PSE,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-05-20,2022-04-26,,1491871,NOK,9.405,252672,QZA-20/0044-9,2022-05-21,2022-05-21
2022-04-21,2022,Preservation of the physical and normative space for a two state solution through the prevention of,62000,"Germany, Government of",Government,DEU,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,Action Against Hunger,NGO,Water Sanitation Hygiene,PSE,"WASH assistance and flood mitigation for vulnerable families and schools across Area C and the H2 area of Hebron, West Bank",HPSE22-WSH-183507-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-04-21,2022-04-21,,,,,251826,,2022-05-12,2022-05-12
2022-04-21,2022,Support vulnerable population to improve access to basic WASH services in Gaza Strip.,1925000,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,Action Against Hunger,NGO,Water Sanitation Hygiene,PSE,Support vulnerable population to improve access to basic WASH services in Gaza Strip.,HPSE22-WSH-183612-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-04-21,2022-04-21,,,,,251827,,2022-05-12,2022-05-12
2022-04-21,2022,"Safe, dignified and gender responsive WASH Services for the Most Vulnerable Households headed by women in Gaza Strip",75000,Muslim Aid,NGO,GBR,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,AISHA Association for Woman and Child Protection,NGO,Water Sanitation Hygiene,PSE,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-04-21,2022-04-21,,,,,251828,,2022-05-12,2022-05-12
2022-04-21,2022,"RIGHTS - Protection and Human Rights for vulnerable Palestinian Communities in Area C (West Bank): health, Water and Hygiene",141450,Italian Agency for Development Cooperation,Government,ITA,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,Cooperazione E Sviluppo - CESVI,NGO,Water Sanitation Hygiene,PSE,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-04-21,2022-04-21,,,,,251829,,2022-05-12,2022-05-12
2022-04-21,2022,Conflict-affected population in Gaza Strip have adequate access to essential WASH services.,80000,"Norway, Government of",Government,NOR,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,Norwegian Refugee Council,NGO,Water Sanitation Hygiene,PSE,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-04-21,2022-04-21,,80000,USD,1,251830,,2022-05-12,2022-05-12
2022-04-21,2022,Ensure access to safe water and sanitation which meets Sphere and WHO standards in terms of quantity and quality is provided to target schools,7000,"Norway, Government of",Government,NOR,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,Norwegian Refugee Council,NGO,Water Sanitation Hygiene,PSE,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-04-21,2022-04-21,,,,,251831,,2022-05-12,2022-05-12
2022-04-21,2022,Right to Health (R2H) - Enhanced access to quality and inclusive basic health services for the population most exposed to violations of human rights in Northern Gaza governorate.,506000,Italian Agency for Development Cooperation,Government,ITA,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,WeWorld - Gruppo Volontariato Civile Onlus,NGO,Water Sanitation Hygiene,PSE,Improving WASH and health services in health facilities at Al-Nasser Medical Compound in Gaza governorate and at household level in Deir Al Balah governorate contributing to combat COVID-19 ,HPSE22-HEA;WSH-183668-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-04-21,2022-04-21,,,,,251911,,2022-05-15,2022-05-15
2022-04-21,2022,Organised Local Response Program - Protection and WASH,882001,Agencia Andaluza de Cooperación Internacional para el Desarrollo,Government,ESP,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,Asamblea De Cooperacion Por La Paz,NGO,Water Sanitation Hygiene,PSE,Organised Local Response Program - Protection and WASH,HPSE22-PRO;WSH-183524-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-04-21,2022-04-21,,,,,251912,,2022-05-15,2022-05-15
2022-04-21,2022,"1- Supporting vulnerable and affected Palestinian communities to transition to more resilient, sustainable, and equitable economic growth in the Gaza Strip and the Jordan Valley USD 350,0002- Strengthening resilience and improving economic opportunities of vulnerable groups and communities in Gaza and the Jordan Valley USD 400,000",750000,"Germany, Government of",Government,DEU,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,Oxfam Novib,NGO,Water Sanitation Hygiene,PSE,Improve access to WASH services for the West Bank vulnerable and under-served Communities,HPSE22-WSH-183452-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2022-04-21,2022-04-21,BMZ,750000,USD,1,251913,,2022-05-15,2022-05-15
2022-04-21,2022,"Improving the efficacy, accessibility and sustainability of WaSH services in the Occupied Palestinian Territory (OPT) and the response capacity of humanitarian actors through developing early warning indicators",77765,"Spain, Government of",Government,ESP,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,Palestinian Hydrology Group,Private organization/foundation,Water Sanitation Hygiene,PSE,Improving WASH conditions at community & HH levels in Gaza and Middle area Governorates,HPSE22-WSH-183513-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2022-04-21,2022-04-21,,77765,USD,1,251914,,2022-05-15,2022-05-15
2022-04-21,2022,"Localized Nexus strategy for the integrated protection of the rights and dignity of the Palestinian population under occupation in accordance with IHL and IHRL, with special emphasis on gender equity, child protection and DRR",268714,"Spain, Government of",Government,ESP,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,Palestinian Hydrology Group,Private organization/foundation,Water Sanitation Hygiene,PSE,Improving Governance and Access to WASH services in West Bank ,HPSE22-WSH-183542-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2022-04-21,2022-04-21,,268714,USD,1,251915,,2022-05-15,2022-05-15
2022-04-21,2022,Contribute to protection of the Population at Risk of Forcible Transfer in Area C through Access to Essential Services,97500,Italian Agency for Development Cooperation,Government,ITA,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,WeWorld - Gruppo Volontariato Civile Onlus,NGO,Water Sanitation Hygiene,PSE,Emergency response to urgent WASH needs and flood mitigation prevention for the most vulnerable communities and institutions in the West Bank,HPSE22-WSH-183632-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-04-21,2022-04-21,,,,,251916,,2022-05-15,2022-05-15
2022-04-21,2022,Building resilience and ensuring protective hygiene in WASH and DRR systems at schools’ level in Area “C”- West Bank,853873,"Germany, Government of",Government,DEU,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,World Vision Jerusalem West Bank Gaza,NGO,Water Sanitation Hygiene,PSE,Improving access to WASH services in schools located in area C,HPSE22-WSH-183688-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2022-04-21,2022-04-21,BMZ,853873,USD,1,251917,,2022-05-15,2022-05-15
2022-04-21,2022,Maintenance of Water Supply System at Al Shifa Hospital in Gaza Strip,150000,,,,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,Islamic Relief Worldwide,NGO,Water Sanitation Hygiene,PSE,Emergency Response to improve access to basic WASH needs for the most vulnerable female-headed households in Rafah governorate,HPSE22-WSH-183694-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2022-04-21,2022-04-21,,150000,USD,1,251918,,2022-05-15,2022-05-15
2022-04-21,2022,Finding the appropriate household water filter for emergencies,125000,ELRHA,Private organization/foundation,,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,Cooperazione E Sviluppo - CESVI,NGO,Water Sanitation Hygiene,PSE,"Comprehensive WASH and protection support to vulnerable households, underserved public health care facilities, schools and solid waste service providers in Gaza",HPSE22-WSH-183730-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-04-21,2022-04-21,,,,,251919,,2022-05-15,2022-05-15
2022-04-21,2022,Finding the appropriate household water filter for emergencies,3000000,United States Agency for International Development,Government,USA,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,Global Communities,NGO,Water Sanitation Hygiene,PSE,"Improve Access to Water, Sanitation and Hygiene and Support Flood Mitigation and Prevention for Most Vulnerable Communities in North, Middle and South of Gaza Strip",HPSE22-WSH-183720-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-04-21,2022-04-21,,,,,251920,,2022-05-15,2022-05-15
2022-04-21,2022,Improving WASH Services in to Vulnerable Communities in Gaza,1215000,United States Agency for International Development,Government,USA,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,American Near East Refugee Aid,NGO,Water Sanitation Hygiene,PSE,Improving WASH Services in to Vulnerable Communities in Gaza,HPSE22-WSH-183755-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-04-21,2022-04-21,,,,,251921,,2022-05-15,2022-05-15
2022-04-21,2022,Improve access to WASH services and promoting healthier school environments in the Gaza Strip,786973,Muslim Aid,NGO,,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,Oxfam Novib,NGO,Water Sanitation Hygiene,PSE,Promote the resilience  of the vulnerable groups in Gaza Strip through WASH Support to vulnerable and under-served Communities,HPSE22-WSH-183470-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-04-21,2022-04-21,AICS,,,,251922,,2022-05-15,2022-05-15
2022-04-19,2022,Towards Food assistance in Gaza Strip.,1086957,"Spain, Government of",Government,ESP,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,Food Security,PSE,Emergency Food Assistance in Gaza ,HPSE22-FSC-183448-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-27,2022-04-19,,1000000,EUR,0.92,256310,PR22028,2022-08-02,2022-08-02
2022-04-14,,"Shelter, including transitional shelter cash assistance (Gaza) and shelter repairs (Gaza and West Bank)",7644579,"Japan, Government of",Government,JPN,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,Emergency Shelter and NFI,PSE,Emergency Shelter and Preparedness in Gaza,HPSE22-SHL-183494-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-04-12,2022-04-04,,,,,250144,PR22018,2022-04-17,2022-06-24
2022-04-13,,oPt - OCHA Office  [OCT 10388];[Project no.: P010885-004 Arrangement no.: 7439207],607601,"Canada, Government of",Government,CAN,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,Office for the Coordination of Humanitarian Affairs,UN agency,Coordination and support services,PSE,Strengthening Humanitarian Coordination and Advocacy in the occupied Palestinian territory,HPSE22-CSS-183750-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-03-31,2022-03-29,,750000,CAD,1.27,248662,[OCT 10388];[Project no.: P010885-004 Arrangement no.: 7439207],2022-04-15,2022-04-27
2022-04-13,2022,Programme Budget Contribution from Japan 2022,1629138,"Japan, Government of",Government,JPN,2022,2022,,,,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,Multi-sector,"JOR,LBN,PSE,SYR",,,,2022,2022,financial,Standard,Traditional aid,incoming,shared,commitment,2022-05-31,2022-04-13,,,,,253369,,2022-06-01,2022-06-01
2022-04-12,2021,contribution to WFP - occupied Palestinian territory (oPt),21739,"Portugal, Government of",Government,PRT,2021,2021,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,World Food Programme,UN agency,Food Security,PSE,Country Strategic Plan for food assistance to the poor and severely food insecure population in the West Bank and the Gaza Strip,HPSE22-FSC-183463-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2022-04-20,2022-04-12,,20000,EUR,0.92,250348,,2022-04-21,2022-04-27
2022-04-08,2022,Voluntary contribution UNRWA 2022 to core budget,9040179,"Germany, Government of",Government,DEU,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,,PSE,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2022-04-13,2022-04-08,,8100000,EUR,0.896,249961,AA-S09 321.50 PSE 01/22,2022-04-14,2022-04-27
2022-04-08,2022,Ramadan Emergency Food Assistance in Gaza,10040,Private (individuals & organizations),Private organization/foundation,,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,Food Security,PSE,Emergency Food Assistance in Gaza ,HPSE22-FSC-183448-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-27,2022-04-08,,7620,GBP,0.759,256306,PR22025,2022-08-02,2022-08-02
2022-04-05,2022,To save lives and alleviate suffering,275454,"Ireland, Government of",Government,IRL,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,Oxfam Novib,NGO,,PSE,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2022-04-05,2022-04-05,,246807,EUR,0.896,249263,Oxfam HPP 2022,2022-04-06,2022-04-28
